group,slot,observed_attempts,status
coastal,2026-07-02T20:00Z,1,pre-manifest
coastal,2026-07-03T02:00Z,1,pre-manifest
coastal,2026-07-03T08:00Z,1,pre-manifest
coastal,2026-07-03T14:00Z,1,pre-manifest
coastal,2026-07-03T20:00Z,1,pre-manifest
coastal,2026-07-04T02:00Z,1,pre-manifest
coastal,2026-07-04T08:00Z,1,pre-manifest
coastal,2026-07-04T14:00Z,1,pre-manifest
coastal,2026-07-04T20:00Z,1,pre-manifest
coastal,2026-07-05T02:00Z,1,pre-manifest
coastal,2026-07-05T08:00Z,1,pre-manifest
coastal,2026-07-05T14:00Z,1,pre-manifest
coastal,2026-07-05T20:00Z,1,pre-manifest
coastal,2026-07-06T02:00Z,1,pre-manifest
coastal,2026-07-06T08:00Z,1,pre-manifest
coastal,2026-07-06T14:00Z,1,pre-manifest
coastal,2026-07-06T20:00Z,1,pre-manifest
coastal,2026-07-07T02:00Z,1,pre-manifest
coastal,2026-07-07T08:00Z,1,pre-manifest
coastal,2026-07-07T14:00Z,0,missing
coastal,2026-07-07T20:00Z,0,missing
coastal,2026-07-08T02:00Z,0,missing
coastal,2026-07-08T08:00Z,0,missing
coastal,2026-07-08T14:00Z,0,missing
coastal,2026-07-08T20:00Z,0,missing
coastal,2026-07-09T02:00Z,0,missing
coastal,2026-07-09T08:00Z,0,missing
coastal,2026-07-09T14:00Z,0,missing
coastal,2026-07-09T20:00Z,0,missing
coastal,2026-07-10T02:00Z,0,missing
coastal,2026-07-10T08:00Z,0,missing
coastal,2026-07-10T14:00Z,0,missing
coastal,2026-07-10T20:00Z,0,missing
coastal,2026-07-11T02:00Z,0,missing
coastal,2026-07-11T08:00Z,0,missing
coastal,2026-07-11T14:00Z,0,missing
coastal,2026-07-11T20:00Z,1,pre-manifest
coastal,2026-07-12T02:00Z,1,pre-manifest
coastal,2026-07-12T08:00Z,1,pre-manifest
coastal,2026-07-12T14:00Z,1,pre-manifest
coastal,2026-07-12T20:00Z,1,pre-manifest
coastal,2026-07-13T02:00Z,1,pre-manifest
coastal,2026-07-13T08:00Z,1,pre-manifest
coastal,2026-07-13T14:00Z,1,pre-manifest
coastal,2026-07-13T20:00Z,1,pre-manifest
coastal,2026-07-14T02:00Z,0,missing
coastal,2026-07-14T08:00Z,0,missing
coastal,2026-07-14T14:00Z,0,missing
coastal,2026-07-14T20:00Z,0,missing
coastal,2026-07-15T02:00Z,0,missing
coastal,2026-07-15T08:00Z,0,missing
coastal,2026-07-15T14:00Z,0,missing
coastal,2026-07-15T20:00Z,0,missing
coastal,2026-07-16T02:00Z,0,missing
coastal,2026-07-16T08:00Z,0,missing
coastal,2026-07-16T14:00Z,0,missing
coastal,2026-07-16T20:00Z,0,missing
coastal,2026-07-17T02:00Z,0,missing
coastal,2026-07-17T08:00Z,0,missing
coastal,2026-07-17T14:00Z,0,missing
coastal,2026-07-17T20:00Z,0,missing
coastal,2026-07-18T02:00Z,0,missing
coastal,2026-07-18T08:00Z,0,missing
coastal,2026-07-18T14:00Z,0,missing
coastal,2026-07-18T20:00Z,0,missing
coastal,2026-07-19T02:00Z,0,missing
coastal,2026-07-19T08:00Z,0,missing
coastal,2026-07-19T14:00Z,0,missing
coastal,2026-07-19T20:00Z,0,missing
coastal,2026-07-20T02:00Z,0,missing
coastal,2026-07-20T08:00Z,0,missing
coastal,2026-07-20T14:00Z,0,missing
coastal,2026-07-20T20:00Z,0,missing
coastal,2026-07-21T02:00Z,0,missing
coastal,2026-07-21T08:00Z,0,missing
coastal,2026-07-21T14:00Z,0,missing
coastal,2026-07-21T20:00Z,0,missing
coastal,2026-07-22T02:00Z,0,missing
coastal,2026-07-22T08:00Z,0,missing
coastal,2026-07-22T14:00Z,0,missing
coastal,2026-07-22T20:00Z,0,missing
coastal,2026-07-23T02:00Z,0,missing
coastal,2026-07-23T08:00Z,0,missing
coastal,2026-07-23T14:00Z,0,missing
coastal,2026-07-23T20:00Z,0,maintenance
coastal,2026-07-24T02:00Z,0,maintenance
coastal,2026-07-24T08:00Z,0,maintenance
coastal,2026-07-24T14:00Z,1,complete
coastal,2026-07-24T20:00Z,1,complete
coastal,2026-07-25T02:00Z,1,complete
coastal,2026-07-25T08:00Z,1,complete
coastal,2026-07-25T14:00Z,1,complete
coastal,2026-07-25T20:00Z,1,complete
coastal,2026-07-26T02:00Z,1,complete
coastal,2026-07-26T08:00Z,1,complete
coastal,2026-07-26T14:00Z,1,complete
coastal,2026-07-26T20:00Z,1,complete
coastal,2026-07-27T02:00Z,1,complete
coastal,2026-07-27T08:00Z,1,complete
coastal,2026-07-27T14:00Z,1,complete
coastal,2026-07-27T20:00Z,1,complete
coastal,2026-07-28T02:00Z,1,complete
coastal,2026-07-28T08:00Z,1,complete
coastal,2026-07-28T14:00Z,1,complete
coastal,2026-07-28T20:00Z,1,complete
coastal,2026-07-29T02:00Z,1,complete
coastal,2026-07-29T08:00Z,1,complete
coastal,2026-07-29T14:00Z,1,complete
coastal,2026-07-29T20:00Z,1,complete
coastal,2026-07-30T02:00Z,1,complete
coastal,2026-07-30T08:00Z,1,complete
coastal,2026-07-30T14:00Z,1,complete
coastal,2026-07-30T20:00Z,1,complete
coastal,2026-07-31T02:00Z,1,complete
coastal,2026-07-31T08:00Z,1,complete
coastal,2026-07-31T14:00Z,1,complete
coastal,2026-07-31T20:00Z,1,complete
coastal,2026-08-01T02:00Z,1,complete
coastal,2026-08-01T08:00Z,1,complete
coastal,2026-08-01T14:00Z,1,complete
coastal,2026-08-01T20:00Z,1,complete
coastal,2026-08-02T02:00Z,1,complete
coastal,2026-08-02T08:00Z,1,complete
coastal,2026-08-02T14:00Z,1,complete
coastal,2026-08-02T20:00Z,1,complete
coastal,2026-08-03T02:00Z,1,complete
coastal,2026-08-03T08:00Z,1,complete
coastal,2026-08-03T14:00Z,1,complete
coastal,2026-08-03T20:00Z,1,complete
coastal,2026-08-04T02:00Z,1,complete
coastal,2026-08-04T08:00Z,1,complete
coastal,2026-08-04T14:00Z,1,complete
coastal,2026-08-04T20:00Z,1,complete
coastal,2026-08-05T02:00Z,1,complete
coastal,2026-08-05T08:00Z,1,complete
coastal,2026-08-05T14:00Z,1,complete
coastal,2026-08-05T20:00Z,1,complete
coastal,2026-08-06T02:00Z,1,complete
coastal,2026-08-06T08:00Z,1,complete
coastal,2026-08-06T14:00Z,0,missing
coastal,2026-08-06T20:00Z,1,complete
coastal,2026-08-07T02:00Z,1,complete
coastal,2026-08-07T08:00Z,1,complete
coastal,2026-08-07T14:00Z,1,complete
coastal,2026-08-07T20:00Z,1,complete
coastal,2026-08-08T02:00Z,1,complete
coastal,2026-08-08T08:00Z,1,complete
coastal,2026-08-08T14:00Z,1,complete
coastal,2026-08-08T20:00Z,1,complete
coastal,2026-08-09T02:00Z,1,complete
coastal,2026-08-09T08:00Z,1,complete
coastal,2026-08-09T14:00Z,1,complete
coastal,2026-08-09T20:00Z,1,complete
coastal,2026-08-10T02:00Z,1,complete
coastal,2026-08-10T08:00Z,1,complete
coastal,2026-08-10T14:00Z,1,complete
coastal,2026-08-10T20:00Z,1,complete
coastal,2026-08-11T02:00Z,1,complete
coastal,2026-08-11T08:00Z,1,complete
coastal,2026-08-11T14:00Z,1,complete
coastal,2026-08-11T20:00Z,1,complete
coastal,2026-08-12T02:00Z,1,complete
coastal,2026-08-12T08:00Z,1,complete
coastal,2026-08-12T14:00Z,1,complete
coastal,2026-08-12T20:00Z,1,complete
coastal,2026-08-13T02:00Z,1,complete
coastal,2026-08-13T08:00Z,1,complete
coastal,2026-08-13T14:00Z,1,complete
coastal,2026-08-13T20:00Z,1,complete
coastal,2026-08-14T02:00Z,1,complete
coastal,2026-08-14T08:00Z,1,complete
coastal,2026-08-14T14:00Z,1,complete
coastal,2026-08-14T20:00Z,1,complete
coastal,2026-08-15T02:00Z,1,complete
coastal,2026-08-15T08:00Z,1,complete
coastal,2026-08-15T14:00Z,1,complete
coastal,2026-08-15T20:00Z,1,complete
coastal,2026-08-16T02:00Z,1,complete
coastal,2026-08-16T08:00Z,1,complete
coastal,2026-08-16T14:00Z,1,complete
coastal,2026-08-16T20:00Z,1,complete
coastal,2026-08-17T02:00Z,1,complete
coastal,2026-08-17T08:00Z,1,complete
coastal,2026-08-17T14:00Z,1,complete
coastal,2026-08-17T20:00Z,1,complete
coastal,2026-08-18T02:00Z,1,complete
coastal,2026-08-18T08:00Z,1,complete
coastal,2026-08-18T14:00Z,1,complete
coastal,2026-08-18T20:00Z,1,complete
coastal,2026-08-19T02:00Z,1,complete
coastal,2026-08-19T08:00Z,1,complete
coastal,2026-08-19T14:00Z,1,complete
coastal,2026-08-19T20:00Z,1,complete
coastal,2026-08-20T02:00Z,1,complete
coastal,2026-08-20T08:00Z,1,complete
coastal,2026-08-20T14:00Z,1,complete
coastal,2026-08-20T20:00Z,1,complete
coastal,2026-08-21T02:00Z,1,complete
coastal,2026-08-21T08:00Z,1,complete
coastal,2026-08-21T14:00Z,1,complete
coastal,2026-08-21T20:00Z,1,complete
coastal,2026-08-22T02:00Z,1,complete
coastal,2026-08-22T08:00Z,1,complete
coastal,2026-08-22T14:00Z,1,complete
coastal,2026-08-22T20:00Z,1,complete
coastal,2026-08-23T02:00Z,1,complete
coastal,2026-08-23T08:00Z,1,complete
coastal,2026-08-23T14:00Z,1,complete
coastal,2026-08-23T20:00Z,1,complete
coastal,2026-08-24T02:00Z,1,complete
coastal,2026-08-24T08:00Z,1,complete
coastal,2026-08-24T14:00Z,1,complete
coastal,2026-08-24T20:00Z,1,complete
coastal,2026-08-25T02:00Z,1,complete
coastal,2026-08-25T08:00Z,1,complete
coastal,2026-08-25T14:00Z,1,complete
coastal,2026-08-25T20:00Z,1,complete
coastal,2026-08-26T02:00Z,1,complete
domestic,2026-04-12(day),1,backfill
domestic,2026-04-13(day),1,backfill
domestic,2026-04-14(day),1,backfill
domestic,2026-04-15(day),1,backfill
domestic,2026-04-16(day),1,backfill
domestic,2026-04-17(day),1,backfill
domestic,2026-04-18(day),1,backfill
domestic,2026-04-19(day),1,backfill
domestic,2026-04-20(day),1,backfill
domestic,2026-04-21(day),1,backfill
domestic,2026-04-22(day),1,backfill
domestic,2026-04-23(day),1,backfill
domestic,2026-04-24(day),1,backfill
domestic,2026-04-25(day),1,backfill
domestic,2026-04-26(day),1,backfill
domestic,2026-04-27(day),1,backfill
domestic,2026-04-28(day),1,backfill
domestic,2026-04-29(day),1,backfill
domestic,2026-04-30(day),1,backfill
domestic,2026-05-01(day),1,backfill
domestic,2026-05-02(day),1,backfill
domestic,2026-05-03(day),1,backfill
domestic,2026-05-04(day),1,backfill
domestic,2026-05-05(day),1,backfill
domestic,2026-05-06(day),1,backfill
domestic,2026-05-07(day),1,backfill
domestic,2026-05-08T00:00Z,1,pre-manifest
domestic,2026-05-08T06:00Z,1,pre-manifest
domestic,2026-05-08T12:00Z,1,pre-manifest
domestic,2026-05-08T18:00Z,1,pre-manifest
domestic,2026-05-09T00:00Z,1,pre-manifest
domestic,2026-05-09T06:00Z,1,pre-manifest
domestic,2026-05-09T12:00Z,1,pre-manifest
domestic,2026-05-09T18:00Z,1,pre-manifest
domestic,2026-05-10T00:00Z,1,pre-manifest
domestic,2026-05-10T06:00Z,1,pre-manifest
domestic,2026-05-10T12:00Z,1,pre-manifest
domestic,2026-05-10T18:00Z,1,pre-manifest
domestic,2026-05-11T00:00Z,1,pre-manifest
domestic,2026-05-11T06:00Z,1,pre-manifest
domestic,2026-05-11T12:00Z,1,pre-manifest
domestic,2026-05-11T18:00Z,1,pre-manifest
domestic,2026-05-12T00:00Z,1,pre-manifest
domestic,2026-05-12T06:00Z,1,pre-manifest
domestic,2026-05-12T12:00Z,1,pre-manifest
domestic,2026-05-12T18:00Z,1,pre-manifest
domestic,2026-05-13T00:00Z,1,pre-manifest
domestic,2026-05-13T06:00Z,1,pre-manifest
domestic,2026-05-13T12:00Z,1,pre-manifest
domestic,2026-05-13T18:00Z,1,pre-manifest
domestic,2026-05-14T00:00Z,1,pre-manifest
domestic,2026-05-14T06:00Z,1,pre-manifest
domestic,2026-05-14T12:00Z,1,pre-manifest
domestic,2026-05-14T18:00Z,1,pre-manifest
domestic,2026-05-15T00:00Z,1,pre-manifest
domestic,2026-05-15T06:00Z,1,pre-manifest
domestic,2026-05-15T12:00Z,1,pre-manifest
domestic,2026-05-15T18:00Z,1,pre-manifest
domestic,2026-05-16T00:00Z,1,pre-manifest
domestic,2026-05-16T06:00Z,1,pre-manifest
domestic,2026-05-16T12:00Z,1,pre-manifest
domestic,2026-05-16T18:00Z,1,pre-manifest
domestic,2026-05-17T00:00Z,1,pre-manifest
domestic,2026-05-17T06:00Z,1,pre-manifest
domestic,2026-05-17T12:00Z,1,pre-manifest
domestic,2026-05-17T18:00Z,1,pre-manifest
domestic,2026-05-18T00:00Z,1,pre-manifest
domestic,2026-05-18T06:00Z,1,pre-manifest
domestic,2026-05-18T12:00Z,1,pre-manifest
domestic,2026-05-18T18:00Z,1,pre-manifest
domestic,2026-05-19T00:00Z,1,pre-manifest
domestic,2026-05-19T06:00Z,1,pre-manifest
domestic,2026-05-19T12:00Z,1,pre-manifest
domestic,2026-05-19T18:00Z,1,pre-manifest
domestic,2026-05-20T00:00Z,1,pre-manifest
domestic,2026-05-20T06:00Z,1,pre-manifest
domestic,2026-05-20T12:00Z,1,pre-manifest
domestic,2026-05-20T18:00Z,1,pre-manifest
domestic,2026-05-21T00:00Z,1,pre-manifest
domestic,2026-05-21T06:00Z,1,pre-manifest
domestic,2026-05-21T12:00Z,1,pre-manifest
domestic,2026-05-21T18:00Z,1,pre-manifest
domestic,2026-05-22T00:00Z,1,pre-manifest
domestic,2026-05-22T06:00Z,1,pre-manifest
domestic,2026-05-22T12:00Z,1,pre-manifest
domestic,2026-05-22T18:00Z,1,pre-manifest
domestic,2026-05-23T00:00Z,1,pre-manifest
domestic,2026-05-23T06:00Z,1,pre-manifest
domestic,2026-05-23T12:00Z,1,pre-manifest
domestic,2026-05-23T18:00Z,1,pre-manifest
domestic,2026-05-24T00:00Z,1,pre-manifest
domestic,2026-05-24T06:00Z,1,pre-manifest
domestic,2026-05-24T12:00Z,1,pre-manifest
domestic,2026-05-24T18:00Z,1,pre-manifest
domestic,2026-05-25T00:00Z,1,pre-manifest
domestic,2026-05-25T06:00Z,1,pre-manifest
domestic,2026-05-25T12:00Z,1,pre-manifest
domestic,2026-05-25T18:00Z,1,pre-manifest
domestic,2026-05-26T00:00Z,1,pre-manifest
domestic,2026-05-26T06:00Z,1,pre-manifest
domestic,2026-05-26T12:00Z,1,pre-manifest
domestic,2026-05-26T18:00Z,1,pre-manifest
domestic,2026-05-27T00:00Z,1,pre-manifest
domestic,2026-05-27T06:00Z,1,pre-manifest
domestic,2026-05-27T12:00Z,1,pre-manifest
domestic,2026-05-27T18:00Z,1,pre-manifest
domestic,2026-05-28T00:00Z,1,pre-manifest
domestic,2026-05-28T06:00Z,1,pre-manifest
domestic,2026-05-28T12:00Z,1,pre-manifest
domestic,2026-05-28T18:00Z,1,pre-manifest
domestic,2026-05-29T00:00Z,1,pre-manifest
domestic,2026-05-29T06:00Z,1,pre-manifest
domestic,2026-05-29T12:00Z,1,pre-manifest
domestic,2026-05-29T18:00Z,1,pre-manifest
domestic,2026-05-30T00:00Z,0,missing
